Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
dbdf5b5e3376394ac49a2e9fe584fb56	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae		
2c4ffc594936aa54602bc615d142e973	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Symbiochloris_handae
051a242339a54fa95c5a53151920cf84	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Ruminococcaceae	 g__Candidatus_Soleaferrea	
6bc1e5a8eb2600049de60838a97869e5	d__Bacteria	 p__Firmicutes	 c__Clostridia				
7f3a9025f558274feb2a07c4bf2e782b	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_forest
4ada56d0f71607087d80e5997b0e0a55	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sandaracinobacter	 s__uncultured_bacterium
fa2a584f6f1bf8e1fdf066a4a795fc65	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	 f__JG30-KF-CM45	 g__JG30-KF-CM45	 s__uncultured_bacterium
0b66f063f8e14515e62962b05d7854d0	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Acidipila	 s__uncultured_bacterium
b6da7a4924913813edf478802f2b2ad4	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Pseudonocardiales	 f__Pseudonocardiaceae	 g__Pseudonocardia	
e356b7b288888763caa6d62d546a106e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	
5e1bb22c29ef98bc55fc459c1a51dec8	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
4c1b050cbb5069434100ce2141acb80b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
e60791da013dd2551fc3ed8712564531	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Belnapia	 s__uncultured_bacterium
5d10b862b4338f6204e6b2dbf3b1db13	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Ammopiptanthus_mongolicus
9f66ef18c5a7405803f91f4af48e03e0	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Galbitalea	 s__uncultured_bacterium
6a4db6b2588187d32787d36604420728	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acidiphilium	 s__uncultured_bacterium
25a8e49bb1e9d0cd9973a8bbdff6280d	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	 s__uncultured_Aeromicrobium
325493afc557e01606b994d198c3d483	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)		
579a6d6c52b098b9ec49ad33a80df73b	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
9a463454502628e31fc64450e3370cfb	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	
40bb80d1754eaa818599286df36415ce	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	
8ee4e35b49f218f5e84b723ff06dd9a0	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	
df3c0210d939b18131dbeda7c12ca7e8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	 s__uncultured_bacterium
83cf9d1beae3ff06065834e0c9ce1cf5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acidocella	 s__uncultured_bacterium
4906c6e01ed133665d2e23bba481b141	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
3124cb67c899a49f2d4ff5cca42d6357	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
9ca545bc2a472734f32907fbec9d0737	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Symbiochloris_handae
