SampleID	Island	Abbreviation	Species	Band Number	Year 	Date Collected	Month	Location	Foraging Guild
411	Kauai	AKIK	Akikiki	1821-21411	2018	3/7/18	March	UUK	Insectivore 
1821-21415-COI	Kauai	AKIK	Akikiki	1821-21415	2018	3/26/18	March	UUK	Insectivore 
415	Kauai	AKIK	Akikiki	1821-21415	2018	3/26/18	March	UUK	Insectivore 
300-2	Kauai	AKIK	Akikiki	2280-09300	2018	3/29/18	March	HPK	Insectivore 
373-3	Kauai	AKIK	Akikiki	1821-21373	2018	5/6/18	May	HPK	Insectivore 
2631-36142-COI	Kauai	AKIK	Akikiki	2631-36142	2018	5/7/18	May	HPK	Insectivore 
142-5	Kauai	AKIK	Akikiki	2631-36142	2018	5/7/18	May	HPK	Insectivore 
773	Kauai	AKIK	Akikiki	2280-37773	2018	5/12/18	May	HPK	Insectivore 
143	Kauai	AKIK	Akikiki	2631-36143	2018	5/12/18	May	HPK	Insectivore 
347-4	Kauai	AKIK	Akikiki	1821-21347	2018	5/20/18	May	HPK	Insectivore 
347-1	Kauai	AKIK	Akikiki	1821-21347	2018	5/21/18	May	HPK	Insectivore 
144	Kauai	AKIK	Akikiki	2631-36144	2018	5/28/18	May	HPK	Insectivore 
145	Kauai	AKIK	Akikiki	2631-36145	2018	5/28/18	May	HPK	Insectivore 
2280-37786-COI	Kauai	AKIK	Akikiki	2280-37786	2019	2/23/19	May	HPK	Insectivore 
2280-37788-COI	Kauai	AKIK	Akikiki	2280-37788	2019	2/23/19	May	HPK	Insectivore 
1821-21422-COI	Kauai	AKIK	Akikiki	1821-21422	2019	5/19/19	May	HPK	Insectivore 
2631-36158-COI	Kauai	AKIK	Akikiki	2631-36158	2019	6/3/19	June	HPK	Insectivore 
2350-24351-COI	Big Island	HCRE	Alawi 	2350-24351	2015	3/14/15	NA	KOAR	Insectivore 
2591-26695-COI	Big Island	HCRE	Alawi 	2591-26695	2015	5/26/15	NA	PEDR	Insectivore 
1661-42969-COI	Big Island	HCRE	Alawi 	1661-42969	2015	9/4/15	NA	PEDR	Insectivore 
2020-40784-COI	Big Island	HCRE	Alawi 	2020-40784	2015	10/7/15	NA	PUAK	Insectivore 
1851-54934-COI	Big Island	HCRE	Alawi 	1851-54934	2016	2/25/16	NA	KOAR	Insectivore 
1831-47881-COI	Big Island	HCRE	Alawi 	1831-47881	2016	2/28/16	NA	KOAR	Insectivore 
2631-11687-031016-COI	Big Island	HCRE	Alawi 	2631-11687	2016	3/10/16	NA	PUAK	Insectivore 
2631-11782-COI	Big Island	HCRE	Alawi 	2631-11782	2016	3/14/16	NA	KOAR	Insectivore 
1831-93065-COI	Big Island	HCRE	Alawi 	1831-93065	2016	3/23/16	NA	KOAR	Insectivore 
2631-11845-COI	Big Island	HCRE	Alawi 	2631-11845	2016	3/26/16	NA	PUAK	Insectivore 
2631-11780-COI	Big Island	HCRE	Alawi 	2631-11780	2016	3/29/16	NA	KOAR	Insectivore 
1661-42970-COI	Big Island	HCRE	Alawi 	1661-42970	2016	4/19/16	NA	PEDR	Insectivore 
2631-11708-COI	Big Island	HCRE	Alawi 	2631-11708	2016	4/19/16	NA	PEDR	Insectivore 
1661-42996-COI	Big Island	HCRE	Alawi 	1661-42996	2016	5/8/16	NA	KOAR	Insectivore 
2591-08303-COI	Big Island	HCRE	Alawi 	2591-08303	2019	10/24/19	NA	HWOW	Insectivore 
2631-11687-102419-COI	Big Island	HCRE	Alawi 	2631-11687	2019	10/24/19	NA	HWOU	Insectivore 
2591-08281-COI	Big Island	HCRE	Alawi 	2591-08281	2020	1/14/20	NA	PUAK	Insectivore 
2591-08286-011420-COI	Big Island	HCRE	Alawi 	2591-08286	2020	1/14/20	NA	PUAK	Insectivore 
2591-08286-011620-COI	Big Island	HCRE	Alawi 	2591-08286	2020	1/16/20	NA	PUAK	Insectivore 
2591-26789-COI	Big Island	HCRE	Alawi 	2591-26789	2020	1/16/20	NA	PUAK	Insectivore 
1661-42921-COI	Big Island	HCRE	Alawi 	1661-42921	2020	1/28/20	NA	PUAK	Insectivore 
1691-49199-COI	Big Island	HCRE	Alawi 	1691-49199	2020	1/28/20	NA	PUAK	Insectivore 
2280-09268-COI	Kauai	ANIA	Anianiau	2280-09268	2015	12/7/15	December	MOH	Generalist
2280-09271-COI	Kauai	ANIA	Anianiau	2280-09271	2015	12/8/15	December	MOH	Generalist
2280-09288-COI	Kauai	ANIA	Anianiau	2280-09288	2016	7/13/16	July	HPK	Generalist
2520-84342-COI	Kauai	ANIA	Anianiau	2520-84342	2017	1/30/17	January	HPK	Generalist
2520-89339-COI	Kauai	ANIA	Anianiau	2520-89339	2017	1/31/17	January	HPK	Generalist
2280-37710-COI	Kauai	ANIA	Anianiau	2280-37710	2017	4/8/17	April	HPK	Generalist
2280-37717-COI	Kauai	ANIA	Anianiau	2280-37717	2017	5/31/17	May	HPK	Generalist
2520-89358-COI	Kauai	ANIA	Anianiau	2520-89358	2017	5/31/17	May	HPK	Generalist
1821-21384-COI	Kauai	ANIA	Anianiau	1821-21384	2017	6/3/17	June	HPK	Generalist
1821-21385-COI	Kauai	ANIA	Anianiau	1821-21385	2017	6/3/17	June	HPK	Generalist
2280-09228-COI	Kauai	ANIA	Anianiau	2280-09228	2017	7/3/17	July	NA	Generalist
2280-27728-COI	Kauai	ANIA	Anianiau	2280-27728	2017	12/10/17	December	HPK	Generalist
2280-37731-121217-COI	Kauai	ANIA	Anianiau	2280-37731	2017	12/12/17	December	HPK	Generalist
2520-89415-COI	Kauai	ANIA	Anianiau	2520-89415	2017	12/16/17	December	HPK	Generalist
2520-89360-COI	Kauai	ANIA	Anianiau	2520-89360	2018	1/21/18	January	HPK	Generalist
2520-89361-COI	Kauai	ANIA	Anianiau	2520-89361	2018	1/21/18	January	NA	Generalist
2520-89365-COI	Kauai	ANIA	Anianiau	2520-89365	2018	1/25/18	January	NA	Generalist
2280-37739-COI	Kauai	ANIA	Anianiau	2280-37739	2018	2/2/18	February	NA	Generalist
2280-37740-COI	Kauai	ANIA	Anianiau	2280-37740	2018	2/6/18	February	HPK	Generalist
2520-89368-COI	Kauai	ANIA	Anianiau	2520-89368	2018	2/7/18	February	NA	Generalist
2280-37656-COI	Kauai	ANIA	Anianiau	2280-37656	2018	2/24/18	February	NA	Generalist
2520-89383-COI	Kauai	ANIA	Anianiau	2520-89383	2018	2/24/18	February	HPK	Generalist
2280-37669-COI	Kauai	ANIA	Anianiau	2280-37669	2018	3/12/18	March	UUK	Generalist
2520-89382-COI	Kauai	ANIA	Anianiau	2520-89382	2019	2/2/19	February	HPK	Generalist
2520-89380-COI	Kauai	ANIA	Anianiau	2520-89380	2019	2/19/19	February	NA	Generalist
2280-37731-022319-COI	Kauai	ANIA	Anianiau	2280-37731	2019	2/23/19	February	NA	Generalist
2280-37685-COI	Kauai	ANIA	Anianiau	2280-37685	2019	10/10/19	October	MOH	Generalist
2280-37657-COI	Kauai	ANIA	Anianiau	2280-37657	2019	10/12/19	October	MOH	Generalist
2280-37699-COI	Kauai	ANIA	Anianiau	2280-37699	2019	10/12/19	October	MOH	Generalist
2020-40648-COI	Big Island	APAP	Apapane	2020-40648	2013	3/2/13	NA	PEDR	Nectarivore
2621-19484-COI	Big Island	APAP	Apapane	2621-19484	2014	5/12/14	NA	KOAR	Nectarivore
1831-93061-COI	Big Island	APAP	Apapane	1831-93061	2015	3/14/15	NA	KOAR	Nectarivore
2631-11709-COI	Big Island	APAP	Apapane	2631-11709	2016	2/14/16	NA	PEDR	Nectarivore
2631-11710-COI	Big Island	APAP	Apapane	2631-11710	2016	2/14/16	NA	PEDR	Nectarivore
2631-11719-COI	Big Island	APAP	Apapane	2631-11719	2016	2/15/16	NA	KOAR	Nectarivore
2631-11736-COI	Big Island	APAP	Apapane	2631-11736	2016	2/24/16	NA	PEDR	Nectarivore
2621-19454-COI	Big Island	APAP	Apapane	2621-19454	2016	2/25/16	NA	KOAR	Nectarivore
2631-11813-COI	Big Island	APAP	Apapane	2631-11813	2016	3/19/16	NA	PUAK	Nectarivore
2631-11920-COI	Big Island	APAP	Apapane	2631-11920	2016	4/22/16	NA	PUAK	Nectarivore
1661-42928-COI	Big Island	APAP	Apapane	1661-42928	2016	4/26/16	NA	KOAR	Nectarivore
2631-11959-COI	Big Island	APAP	Apapane	2631-11959	2016	4/26/16	NA	KOAR	Nectarivore
2721-12120-COI	Big Island	APAP	Apapane	2721-12120	2016	5/20/16	NA	PUAK	Nectarivore
1821-21340-COI	Kauai	APAP	Apapane	1821-21340	2016	7/10/16	NA	HPK	Nectarivore
1861-01496-COI	Kauai	APAP	Apapane	1861-01496	2017	5/31/17	NA	NA	Nectarivore
1861-01494-COI	Kauai	APAP	Apapane	1861-01494	2017	6/3/17	NA	NA	Nectarivore
1871-25574-COI	Kauai	APAP	Apapane	1871-25574	2018	1/26/18	NA	NA	Nectarivore
1861-01486-COI	Kauai	APAP	Apapane	1861-01486	2018	2/12/18	NA	NA	Nectarivore
1871-25575-COI	Kauai	APAP	Apapane	1871-25575	2018	2/16/18	NA	NA	Nectarivore
2631-36124-COI	Kauai	APAP	Apapane	2631-36124	2018	2/24/18	NA	HPK	Nectarivore
2631-36129-COI	Kauai	APAP	Apapane	2631-36129	2018	3/30/18	NA	NA	Nectarivore
2631-37367-COI	Maui	APAP	Apapane	2631-37367	2019	5/11/19	NA	NAK	Nectarivore
2631-37371-COI	Maui	APAP	Apapane	2631-37371	2019	5/12/19	NA	NAK	Nectarivore
2631-37372-COI	Maui	APAP	Apapane	2631-37372	2019	5/12/19	NA	NAK	Nectarivore
1861-01140-COI	Kauai	APAP	Apapane	1861-01140	2019	10/10/19	NA	MOH	Nectarivore
2721-50720-COI	Big Island	APAP	Apapane	2721-50720	2019	11/5/19	NA	KIPA	Nectarivore
2721-50726-COI	Big Island	APAP	Apapane	2721-50726	2019	11/6/19	NA	KIPA	Nectarivore
2721-50742-COI	Big Island	APAP	Apapane	2721-50742	2019	11/6/19	NA	KIPA	Nectarivore
